#,HTML,Link,Title,Author,Year,Topic,Keywords,Source,,
415,"<a href=""https://hockey-graphs.com/2014/11/25/schedule-adjustment-for-counting-stats/"" target=""_blank"">Schedule Adjustment for Counting Stats</a>",https://hockey-graphs.com/2014/11/25/schedule-adjustment-for-counting-stats/,Schedule Adjustment for Counting Stats,Micah Blake McCurdy,2014,Measures,"Schedule, Home Ice Advantage, Single Game Prediction",Hockey-Graphs,,
416,"<a href=""http://www.crowdscoutsports.com/game-theory/playoff-goaltending/""target =""_blank"">Playoff Goaltending</a>",http://www.crowdscoutsports.com/game-theory/playoff-goaltending/,Playoff Goaltending,Cole Anderson,2018,Evaluation,"Playoffs, Goalies",Crowd Scout Sports,,
417,"<a href=""http://donttellmeaboutheart.blogspot.com/2014/09/year-to-year-repeatability-of-new.html"" target=""_blank"">Year-to-Year Repeatability of New Goalie Stats</a>",http://donttellmeaboutheart.blogspot.com/2014/09/year-to-year-repeatability-of-new.html,Year-to-Year Repeatability of New Goalie Stats,Dawson Sprigings,2014,Evaluation,Goalies,Don't Tell Me About Heart,,
418,"<a href=""http://oddacious.github.io/hhof-2018"" target=""_blank"">Update on the Hockey Hall of Fame model and predictions - The Hockey Hall of Fame in 2018, 2019, and beyond</a>",http://oddacious.github.io/hhof-2018,"Update on the Hockey Hall of Fame model and predictions - The Hockey Hall of Fame in 2018, 2019, and beyond",RDJ,2017,Evaluation,"Hall of Fame, Model",Github,,
419,"<a href=""https://hockey-graphs.com/2015/04/09/who-are-nhl-coaches-playing-with-the-lead/"" target=""_blank"">Who are NHL coaches  playing more with the (big) lead?</a>",https://hockey-graphs.com/2015/04/09/who-are-nhl-coaches-playing-with-the-lead/,Who are NHL coaches  playing more with the (big) lead?,Benjamin Wendorf,2015,Evaluation,"Leading, Skaters, Time on Ice Percentage, TOI%",Hockey Graphs,,
420,"<a href=""https://hockey-graphs.com/2016/09/19/why-deterrents-are-irrelevant/"" target=""_blank"">Why Deterrents Are Irrelevant</a>",https://hockey-graphs.com/2016/09/19/why-deterrents-are-irrelevant/,Why Deterrents Are Irrelevant,Ryan Stimson,2016,Measures,"Hits, Deterrent",Hockey-Graphs,,
421,"<a href=""https://www.coppernblue.com/2011/8/22/2378064/how-well-do-scoring-events-reflect-ice-time"" target=""_blank"">How Well Do Scoring Events Reflect Ice Time?</a>",https://www.coppernblue.com/2011/8/22/2378064/how-well-do-scoring-events-reflect-ice-time,How Well Do Scoring Events Reflect Ice Time?,Scott Reynolds,2011,Evaluation,"Goals, Points, Time on Ice, CHL, Prospects",Copper and Blue,,
422,"<a href=""http://www.crowdscoutsports.com/game-theory/explaining-playoff-goaltending/"" target=""_blank"">Explaining Playoff Goaltending</a>",http://www.crowdscoutsports.com/game-theory/explaining-playoff-goaltending/,Explaining Playoff Goaltending,Cole Anderson,2018,Evaluation,"Playoffs, Goalies",Crowd Scout Sports,,
423,"<a href=""https://hockey-graphs.com/2016/03/23/does-aggressive-play-on-the-penalty-kill-pay-off/"" target=""_blank"">Does aggressive play on the penalty kill pay off?</a>",https://hockey-graphs.com/2016/03/23/does-aggressive-play-on-the-penalty-kill-pay-off/,Does aggressive play on the penalty kill pay off?,Matt Cane,2016,Measures,"Penalty Kill, Shorthanded, Special Teams",Hockey Graphs,,
424,"<a href=""https://archive.is/wRXFW"" target=""_blank"">Prospect Expected Goals</a>",https://archive.is/wRXFW,Prospect Expected Goals,Hayden Speak,2018,Evaluation,"Expected Goals, Prospects, OHL, QMJHL",Prospect-Stats,,
425,"<a href-""http://thats-offside.blogspot.it/2013/06/defense-defensemen-and-draft.html"" target=""_blank"">Defense, Defensemen, and the Draft</a>",http://thats-offside.blogspot.it/2013/06/defense-defensemen-and-draft.html,"Defense, Defensemen, and the Draft",Rhys Jessop,2013,Evaluation,"Defenders, Draft, NHL, Prospects, Skaters",That's Offside,,
426,"<a href=""https://hockey-graphs.com/2016/02/08/delta-box-score-a-model-for-predicting-player-scoring-independently-of-teammate-quality/"" target=""_blank"">Delta Box Score: a Model for Predicting Player Scoring Independent of Teammate Quality</a>",https://hockey-graphs.com/2016/02/08/delta-box-score-a-model-for-predicting-player-scoring-independently-of-teammate-quality/,Delta Box Score: a Model for Predicting Player Scoring Independent of Teammate Quality,Dawson Sprigings,2016,Evaluation,Skaters,Hockey Graphs,,
427,"<a href=""http://www.sportsnet.ca/hockey/nhl/price-vs-dubnyk-nhl-gms-overvalue-goalies/"" target=""_blank"">Price vs. Dubnyk: How NHL GMs overvalue goalies</a>",http://www.sportsnet.ca/hockey/nhl/price-vs-dubnyk-nhl-gms-overvalue-goalies/,Price vs. Dubnyk: How NHL GMs overvalue goalies,Steve Burtch,2015,Evaluation,"Goalies, HDSV%, High-Danger, Save Percentage",Sportsnet,,
428,"<a href=""https://archive.is/xcR3q"" target=""_blank"">Hogging the puck: Who's doing it, and who should be doing it</a>",https://archive.is/xcR3q,"Hogging the puck: Who's doing it, and who should be doing it",Benjamin Wendorf,2012,Evaluation,Skaters,NHL Numbers,,
429,"<a href=""https://hockey-graphs.com/2017/02/14/measuring-the-importance-of-structure-on-the-power-play/"" target=""_blank"">Measuring the Importance of Structure on the Powerplay</a>",https://hockey-graphs.com/2017/02/14/measuring-the-importance-of-structure-on-the-power-play/,Measuring the Importance of Structure on the Powerplay,Matt Cane,2017,Measures,Powerplay,Hockey Graphs,,
430,"<a href=""https://archive.is/XdwQI"" target=""_blank"">Draft pick valuation and the likelihood of goaltenders making the NHL</a>",https://archive.is/XdwQI,Draft pick valuation and the likelihood of goaltenders making the NHL,Steve Burtch,2016,Evaluation,"Goalies, NHL Draft",NHL Numbers,,
431,"<a href=""https://archive.is/xehYF"" target=""_blank"">Up and Coming: Refining the estimate</a>",https://archive.is/xehYF,Up and Coming: Refining the estimate,Iain Fyffe,2009,Evaluation,"NHL Draft, Prospects, Projections",Hockey Prospectus,,
432,"<a href=""https://hockey-graphs.com/2014/02/04/nhl-outperforming-pdo-leafs-canucks-bruins-senators/"" target=""_blank"">Outperforming PDO: Mirages and Oases in the NHL</a>",https://hockey-graphs.com/2014/02/04/nhl-outperforming-pdo-leafs-canucks-bruins-senators/,Outperforming PDO: Mirages and Oases in the NHL,Benjamin Wendorf,2014,Measures,"PDO, Team",Hockey Graphs,,
433,"<a href=""https://archive.is/xI1MQ"" target=""_blank"">Are Quality Starts a Repeatable Skill?</a>",https://archive.is/xI1MQ,Are Quality Starts a Repeatable Skill?,Draglikepull,2016,Evaluation,Goalies,NHL Numbers,,
434,"<a href=""https://archive.is/Xmmcc"" target=""_blank"">Adjustments Explained</a>",https://archive.is/Xmmcc,Adjustments Explained,Emmanuel Perry,2016,Measures,"Corsi / Fenwick, Shots",Corsica,,
435,"<a href=""http://nhlnumbers.com/2016/8/10/passing-project-dangerous-primary-shot-contributions"" target=""_blank"">Passing Project: Dangerous Shot Contributions</a>",http://nhlnumbers.com/2016/8/10/passing-project-dangerous-primary-shot-contributions,Passing Project: Dangerous Shot Contributions,Loserpoints,2016,Measures,Shot Quality,Hockey Graphs,,
436,"<a href=""https://oilersnation.com/2016/07/12/diamonds-in-the-rough-finding-elite-talent-late-bb00a5ee-260b-4ed4-b9d9-6320fd3ffa1a/"" target=""_blank"">Diamongs in the Rough: Finding Elite Talent Late</a>",https://oilersnation.com/2016/07/12/diamonds-in-the-rough-finding-elite-talent-late-bb00a5ee-260b-4ed4-b9d9-6320fd3ffa1a/,Diamongs in the Rough: Finding Elite Talent Late,Byron Bader,2016,Evaluation,"NHL Draft, Prospects, NHLe",Oilers Nation,,
437,"<a href=""http://blog.philbirnbaum.com/2012/01/do-hockey-fights-lift-teams-performance.html"" target=""_blank"">Do hockey fights lift a team's performance?</a>",http://blog.philbirnbaum.com/2012/01/do-hockey-fights-lift-teams-performance.html,Do hockey fights lift a team's performance?,Phil Birnbaum,2012,Fighting,"Fighting, Skaters",Sabermetric Research,,
438,"<a href=""https://hockey-graphs.com/2017/06/01/should-teams-play-with-4-forwards-when-theyre-down-late/"" target=""_blank"">Should teams play with 4 forwards when they're down late?</a>",https://hockey-graphs.com/2017/06/01/should-teams-play-with-4-forwards-when-theyre-down-late/,Should teams play with 4 forwards when they're down late?,Matt Cane,2017,Strategy,"Skaters, Trailing",Hockey Graphs,,
439,"<a href=""https://archive.is/Y1TgQ"" target=""_blank"">Looking at AHL Goaltenders vs. NHL Players</a>",https://archive.is/Y1TgQ,Looking at AHL Goaltenders vs. NHL Players,Rob Pettapiece,2012,Evaluation,Goalies,NHL Numbers,,
440,"<a href=""https://hockey-graphs.com/2015/11/05/eventual-nhl-success-in-echl-prospects/"" target=""_blank"">Eventual NHL Success in ECHL Prospects</a>",https://hockey-graphs.com/2015/11/05/eventual-nhl-success-in-echl-prospects/,Eventual NHL Success in ECHL Prospects,Josh Weissbock,2015,Evaluation,NHL Draft,Hockey Graphs,,
441,"<a href=""https://hockey-graphs.com/2015/09/29/why-teams-should-use-4-forwards-on-the-powerplay/"" target=""_blank"">Why Teams Should Use 4 Forwards on the Powerplay</a>",https://hockey-graphs.com/2015/09/29/why-teams-should-use-4-forwards-on-the-powerplay/,Why Teams Should Use 4 Forwards on the Powerplay,Matt Cane,2015,Measures,Powerplay,Hockey Graphs,,
442,"<a href=""https://hockey-graphs.com/2016/03/04/quantifying-the-importance-of-handedness/"" target=""_blank"">Quantifying the Importance of Handedness</a>",https://hockey-graphs.com/2016/03/04/quantifying-the-importance-of-handedness/,Quantifying the Importance of Handedness,Domenic Galamini,2016,Evaluation,"Defensemen, Skaters",Hockey Graphs,,
443,"<a href=""https://archive.is/yLGNx"" target=""_blank"">Bootstrapping QoT/QoC and the Sedin Paradox</a>",https://archive.is/yLGNx,Bootstrapping QoT/QoC and the Sedin Paradox,Emmanuel Perry,2016,Measures,Quality of Competition / Teammates,Corsica,,
444,"<a href=""https://hockey-graphs.com/2018/10/26/should-teams-pull-their-goalie-on-the-power-play/"" target=""_blank"">Should Teams Pull Their Goalie On The Powerplay?</a>",https://hockey-graphs.com/2018/10/26/should-teams-pull-their-goalie-on-the-power-play/,Should Teams Pull Their Goalie On The Powerplay?,Matt Cane,2018,Evaluation,"Goalies, Pulling the Goalie, Powerplay",Hockey-Graphs,,
445,"<a href=""http://brodeurisafraud.blogspot.com/2008/11/shots-attempts-against.html"" target=""_blank"">Shot Attempts Against</a>",http://brodeurisafraud.blogspot.com/2008/11/shots-attempts-against.html,Shot Attempts Against,Philip Myrland,2008,Evaluation,Goalies,Brodeur Is A Fraud,,
446,"<a href=""http://www.corsica.hockey/blog/2016/03/29/1-2-3-lets-have-fun-getting-started-with-hockey-analytics/"" target=""_blank"">1-2-3 Let's Have Fun: Getting Started With Hockey Analytics</a>",http://www.corsica.hockey/blog/2016/03/29/1-2-3-lets-have-fun-getting-started-with-hockey-analytics/,1-2-3 Let's Have Fun: Getting Started With Hockey Analytics,Madeupcall,2016,Introduction,"Corsi, Possession, Primers, R, Regression, Score Effects",Corsica,,
447,"<a href=""https://businessofhockey.wordpress.com/2017/08/24/what-goes-into-a-successful-shootout-attempt/"" target=""_blank"">What Goes Into A Successful Shootout Attempt</a>",https://businessofhockey.wordpress.com/2017/08/24/what-goes-into-a-successful-shootout-attempt/,What Goes Into A Successful Shootout Attempt,Steve Ness,2017,Evaluation,Shootout,Business of Hockey,,
448,"<a href=""https://archive.is/Z2MOr"" target=""_blank"">Numbers on Ice: How much skill is there in goaltending?</a>",https://archive.is/Z2MOr,Numbers on Ice: How much skill is there in goaltending?,Tom Awad,2010,Evaluation,Goalies,Hockey Prospectus,,
449,"<a href=""https://archive.is/Z857t"" target=""_blank"">Numbers On Ice: Shooting to the score</a>",https://archive.is/Z857t,Numbers On Ice: Shooting to the score,Tom Awad,2009,Evaluation,"Shot Quality, Score State",Hockey Prospectus,,
450,"<a href=""https://archive.is/Z9QGP"" target=""_blank"">How Efficient is the NHL Goaltending Market?</a>",https://archive.is/Z9QGP,How Efficient is the NHL Goaltending Market?,Gabe Desjardins,2012,Evaluation,Goalies,NHL Numbers,,
451,"<a href=""https://hockey-graphs.com/2019/01/15/penalty-goals-an-expanded-approach-to-measuring-penalties-in-the-nhl/"" target=""_blank"">Penalty Goals - An Expanded Approach To Measuring Penalties In The NHL</a>",https://hockey-graphs.com/2019/01/15/penalty-goals-an-expanded-approach-to-measuring-penalties-in-the-nhl/,Penalty Goals - An Expanded Approach To Measuring Penalties In The NHL,Evolving Wild,2019,Measures,"Penalties, Penalty Goals",Hockey-Graphs,,
452,"<a href=""http://blog.philbirnbaum.com/2012/01/do-hockey-fights-lift-teams-performance_13.html"" target=""_blank"">Do hockey fights lift a team's perfomrance? Part II</a>",http://blog.philbirnbaum.com/2012/01/do-hockey-fights-lift-teams-performance_13.html,Do hockey fights lift a team's perfomrance? Part II,Phil Birnbaum,2012,Fighting,"Fighting, Skaters",Sabermetric Research,,
453,"<a href=""https://archive.is/zjxHS"" target=""_blank"">Wins Above Replacement</a>",https://archive.is/zjxHS,Wins Above Replacement,Emmanuel Perry,2018,Evaluation,"WAR, LASSO, Regularized Regression",Corsica,,
454,"<a href=""https://hockey-graphs.com/2018/05/28/linking-penalties-and-game-minute-in-the-nhl/"" target=""_blank"">Linking Penalties and Game Minute in the NHL</a>",https://hockey-graphs.com/2018/05/28/linking-penalties-and-game-minute-in-the-nhl/,Linking Penalties and Game Minute in the NHL,Ingrid Rolland,2018,Evaluation,Penalties,Hockey-Graphs,,
455,"<a href=""https://archive.is/zoyRu"" target=""_blank"">Illegal Curve: Blocked shots and standings points</a>",https://archive.is/zoyRu,Illegal Curve: Blocked shots and standings points,Richard Pollock,2010,Evaluation,Blocked Shots,Hockey Prospectus,,
456,"<a href=""https://archive.is/Zs58P"" target=""_blank"">Howe and Why: Relief Goaltending</a>",https://archive.is/Zs58P,Howe and Why: Relief Goaltending,Rob Vollman,2011,Evaluation,"Goaltenders, Backups",Hockey Prospectus,,
457,"<a href=""https://archive.is/zTiFF"" target=""_blank"">Benchmarcs: Determining the value of unrealized draft picks</a>",https://archive.is/zTiFF,Benchmarcs: Determining the value of unrealized draft picks,Marc Foster,2011,Evaluation,"NHL Draft, Trades",Hockey Prospectus,,
458,"<a href=""http://brodeurisafraud.blogspot.com/2009/12/clutch-play.html"" target=""_blank"">Clutch Play</a>",http://brodeurisafraud.blogspot.com/2009/12/clutch-play.html,Clutch Play,Philip Myrland,2009,Evaluation,"Goalies, Clutch",Brodeur Is A Fraud,,
459,"<a href=""https://hockey-graphs.com/2015/11/10/how-can-we-measure-a-goalies-rebound-control-examining-pekka-rinne-and-james-reimer/"" target=""_blank"">How can we measure a goalie's rebound control? Examining Pekka Rinne and James Reimer</a>",https://hockey-graphs.com/2015/11/10/how-can-we-measure-a-goalies-rebound-control-examining-pekka-rinne-and-james-reimer/,How can we measure a goalie's rebound control? Examining Pekka Rinne and James Reimer,Matt Cane,2015,Evaluation,"Goalies, Rebounds",Hockey Graphs,,
460,"<a href=""http://hockeyviz.com/txt/shifts2"" target=""_blank"">Shift Starts and Ends, Part 2</a>",http://hockeyviz.com/txt/shifts2,"Shift Starts and Ends, Part 2",Micah Blake McCurdy,2015,Measures,Corsi / Fenwick,Hockey Viz,,
461,"<a href=""https://theathletic.com/415611/2018/07/05/an-advanced-stats-primer-with-naturalstattricks-brad-timmins/"" target=""_blank"">An Advanced Stats Primer with NaturalStatTrick's Brad Timmins</a>",https://theathletic.com/415611/2018/07/05/an-advanced-stats-primer-with-naturalstattricks-brad-timmins/,An Advanced Stats Primer with NaturalStatTrick's Brad Timmins,Ryan Stimson,2018,Introduction,"Corsi, xG, Expected Goals, Primer",The Athletic,,
462,"<a href=""https://theathletic.com/408421/2018/07/06/advanced-stats-primer-part-2-why-does-passing-matter/"" target=""_blank"">Advanced Stats Primer Part 2 - Why Does Passing Matter?</a>",https://theathletic.com/408421/2018/07/06/advanced-stats-primer-part-2-why-does-passing-matter/,Advanced Stats Primer Part 2 - Why Does Passing Matter?,Ryan Stimson,2018,Introduction,"Relative Corsi, WOWY, WAR, RelTm",The Athletic,,
463,"<a href=""https://theathletic.com/691020/2018/12/04/how-the-war-statistic-can-be-useful-in-hockey-and-what-it-says-about-the-rangers/"" target=""_blank"">How The WAR Statistic Can Be Useful In Hockey And What It Says About The Rangers</a>",https://theathletic.com/691020/2018/12/04/how-the-war-statistic-can-be-useful-in-hockey-and-what-it-says-about-the-rangers/,How The WAR Statistic Can Be Useful In Hockey And What It Says About The Rangers,Shayna Goldman,2018,Overview,"WAR, Wins Above Replacement",The Athletic,,
464,"<a href=""https://theathletic.com/212498/2018/01/18/what-is-and-what-will-sam-bennett-be-for-the-flames-a-bayesian-analysis/"" target=""_blank"">Sam Bennett: A Bayesian Analysis</a>",https://theathletic.com/212498/2018/01/18/what-is-and-what-will-sam-bennett-be-for-the-flames-a-bayesian-analysis/,Sam Bennett: A Bayesian Analysis,Ganesh Murdeshwar,2018,Evaluation,"Bayesian Statistics, Estimating Scoring Ability",The Athletic ($),,
465,"<a href=""https://theathletic.com/94756/2017/09/26/is-sam-morin-taking-too-long-an-analysis-of-nhl-prospect-timelines/"" target=""_blank"">Is Sam Morin Taking Too Long? An Analysis of NHL Prospect Timelines</a>",https://theathletic.com/94756/2017/09/26/is-sam-morin-taking-too-long-an-analysis-of-nhl-prospect-timelines/,Is Sam Morin Taking Too Long? An Analysis of NHL Prospect Timelines,Namita Nandakumar,2017,Evaluation,"Prospects, Survival Curves",The Athletic ($),,
466,"<a href=""https://theathletic.com/131053/2017/10/19/dellow-is-your-favourite-team-coached-by-a-line-juggler-the-athletic-investigates/"" target=""_blank"">Is Your Favourite Team Coached by a 'Line Juggler'?</a>",https://theathletic.com/131053/2017/10/19/dellow-is-your-favourite-team-coached-by-a-line-juggler-the-athletic-investigates/,Is Your Favourite Team Coached by a 'Line Juggler'?,Tyler Dellow,2017,Evaluation,"Coaching, Line Juggling",The Athletic ($),,
467,"<a href=""https://theathletic.com/212763/2018/01/18/dellow-when-do-defencemen-make-it/"" target=""_blank"">When Do Defensemen Make It?</a>",https://theathletic.com/212763/2018/01/18/dellow-when-do-defencemen-make-it/,When Do Defensemen Make It?,Tyler Dellow,2018,Evaluation,"Aging Curves, Corsi / Fenwick, Defenders",The Athletic ($),,
468,"<a href=""https://arxiv.org/pdf/1208.0799.pdf"" target=""_blank"">Competing Process Hazard Function Models for Player Ratings in Ice Hockey</a>",https://arxiv.org/pdf/1208.0799.pdf,Competing Process Hazard Function Models for Player Ratings in Ice Hockey,A.C. Thomas,2013,Evaluation,Skaters,Arxiv,,
469,"<a href=""https://arxiv.org/pdf/1205.1746.pdf"" target=""_blank"">Evaluating NHL Goalies, Skaters, and Teams Using Weighted Shots</a>",https://arxiv.org/pdf/1205.1746.pdf,"Evaluating NHL Goalies, Skaters, and Teams Using Weighted Shots",Brian Macdonald,2012,Measures,Shot Quality,Arxiv,,
470,"<a href=""https://arxiv.org/abs/1201.0317"" target=""_blank"">Adjusted Plus-Minus for NHL Players Using Ridge Regression with Goals, Shots, Fenwick, and Corsi</a>",https://arxiv.org/abs/1201.0317,"Adjusted Plus-Minus for NHL Players Using Ridge Regression with Goals, Shots, Fenwick, and Corsi",Brian Macdonald,2012,Evaluation,Skaters,Arxiv,,
471,"<a href=""https://arxiv.org/ftp/arxiv/papers/1208/1208.1725.pdf"" target=""_blank"">The Pythagorean Won-Loss Formula and Hockey</a>",https://arxiv.org/ftp/arxiv/papers/1208/1208.1725.pdf,The Pythagorean Won-Loss Formula and Hockey,Kevin Dayaratna,2013,Miscellaneous,,Arxiv,,
472,"<a href=""https://arxiv.org/pdf/1701.05976.pdf"" target=""_blank"">How Often Does The Best Team Win? A Unified Approach to Understanding Randomness in North American Sport</a>",https://arxiv.org/pdf/1701.05976.pdf,How Often Does The Best Team Win? A Unified Approach to Understanding Randomness in North American Sport,Michael Lopez,2017,Evaluation,"Models, Winning, Best Team",ArXiv,,
473,"<a href=""https://arxiv.org/pdf/1802.08765.pdf"" target=""_blank"">Model Trees for Identifying Exceptional Players in the NHL Draft</a>",https://arxiv.org/pdf/1802.08765.pdf,Model Trees for Identifying Exceptional Players in the NHL Draft,Oliver Schulte,2018,Evaluation,"Draft, Model Trees, Prospects",Arxiv,,
474,"<a href=""https://arxiv.org/pdf/1209.5026.pdf"" target=""_blank"">Estimating Player Contribution in Hockey with Regularized Logistic Regression</a>",https://arxiv.org/pdf/1209.5026.pdf,Estimating Player Contribution in Hockey with Regularized Logistic Regression,Robert Gramacy,2013,Evaluation,Skaters,Arxiv,,
475,"<a href=“https://arxiv.org/pdf/1808.04063.pdf” target=“_blank”>Time Perception Machine: Temporal Point Processes for the When, Where, and What of Activity Prediction</a>",https://arxiv.org/pdf/1808.04063.pdf,"Time Perception Machine: Temporal Point Processes for the When, Where, and What of Activity Prediction",Yatao Zhong,2018,Evaluation,"Temporal Point Process, Activity Prediction, Time Perception Machine",arxiv.org,,
476,"<a href=""chrome-extension://oemmndcbldboiebfnladdacbdfmadadm/https://dlib.bc.edu/islandora/object/bc-ir:108029/datastream/PDF/view"" target=""_blank"">Forecasting Real-Time Win Probabilities In NHL Games</a>",https://dlib.bc.edu/islandora/object/bc-ir:108029/datastream/PDF/view,Forecasting Real-Time Win Probabilities In NHL Games,Christophe Bernier,2018,Evaluation,"Win Probability, Shootouts, Betting, Odds",Boston College,,
477,"<a href=""http://www.corsica.hockey/misc/K_Manuscript.pdf"" target=""_blank"">Composite Tailored Regression Modeling for Evaluative Ratings in Professional Hockey</a>",http://www.corsica.hockey/misc/K_Manuscript.pdf,Composite Tailored Regression Modeling for Evaluative Ratings in Professional Hockey,Emmanuel Perry,2016,Evaluation,Skaters,Corsica,,
478,"<a href=""chrome-extension://oemmndcbldboiebfnladdacbdfmadadm/https://qss.dartmouth.edu/sites/qss.dartmouth.edu/files/sam_forstner.pdf"" target=""_blank"">Forecasting NHL Hat Tricks</a>",https://qss.dartmouth.edu/sites/qss.dartmouth.edu/files/sam_forstner.pdf,Forecasting NHL Hat Tricks,Sam Forstner,2018,Measures,"Poisson, Hat Tricks",Dartmouth,,
479,"<a href=""http://hockeyanalytics.com/Research_files/Impact%20of%20Puck%20Possession%20and%20Location%20on%20Strategy.pdf"" target=""_blank"">The Impact of Puck Possession and Location on Ice Hockey Strategy</a>",http://hockeyanalytics.com/Research_files/Impact%20of%20Puck%20Possession%20and%20Location%20on%20Strategy.pdf,The Impact of Puck Possession and Location on Ice Hockey Strategy,A.C. Thomas,2006,Strategy,"Possession, Team",Hockey Analytics,,
480,"<a href=""http://hockeyanalytics.com/Research_files/Interarrival%20Times%20of%20Goals%20in%20Ice%20Hockey.pdf"" target=""_blank"">Inter-arrival Times of Goals in Ice Hockey</a>",http://hockeyanalytics.com/Research_files/Interarrival%20Times%20of%20Goals%20in%20Ice%20Hockey.pdf,Inter-arrival Times of Goals in Ice Hockey,A.C. Thomas,2007,Miscellaneous,,Hockey Analytics,,
481,"<a href=""http://hockeyanalytics.com/Research_files/Goal_Prevention_2004.pdf"" target=""_blank"">Goal Prevention</a>",http://hockeyanalytics.com/Research_files/Goal_Prevention_2004.pdf,Goal Prevention,Alan Ryder,2004,Measures,Shot Quality,Hockey Analytics,,
482,"<a href=""http://www.hockeyanalytics.com/Research_files/Poisson_Toolbox.pdf"" target=""_blank"">Poisson Toolbox: A review of the application of the Poisson Probability Distribution in Hockey</a>",http://www.hockeyanalytics.com/Research_files/Poisson_Toolbox.pdf,Poisson Toolbox: A review of the application of the Poisson Probability Distribution in Hockey,Alan Ryder,2004,Miscellaneous,Poisson,Hockey Analytics,,
483,"<a href=""http://hockeyanalytics.com/Research_files/Product_Recall_for_Shot_Quality.pdf"" target=""_blank"">Product Recall Notice for 'Shot Quality': Data Quality Problems with the Measurement of the Quality of a Hockey Team's Shots Taken and Allowed</a>",http://hockeyanalytics.com/Research_files/Product_Recall_for_Shot_Quality.pdf,Product Recall Notice for 'Shot Quality': Data Quality Problems with the Measurement of the Quality of a Hockey Team's Shots Taken and Allowed,Alan Ryder,2007,Measures,Shot Quality,Hockey Analytics,,
484,"<a href=""http://hockeyanalytics.com/Research_files/League_Equivalencies.pdf"" target=""_blank"">League Equivalencies</a>",http://hockeyanalytics.com/Research_files/League_Equivalencies.pdf,League Equivalencies,Gabe Desjardins,2004,Evaluation,"Draft, NHL, Prospects",Hockey Analytics,,
485,"<a href=""http://hockeyanalytics.com/Research_files/Shot_Quality_Krzywicki.pdf"" target=""_blank"">Shot Quality: A logistic regression approach to assessing NHL shots on goal</a>",http://hockeyanalytics.com/Research_files/Shot_Quality_Krzywicki.pdf,Shot Quality: A logistic regression approach to assessing NHL shots on goal,Kevin Krzywicki,2005,Measures,Shot Quality,Hockey Analytics,,
486,"<a href=""http://hockeyanalytics.com/Research_files/SQ-RS0910-Krzywicki.pdf"" target=""_blank"">NHL Shot Quality 2009-2010: A look at shot angles and rebounds</a>",http://hockeyanalytics.com/Research_files/SQ-RS0910-Krzywicki.pdf,NHL Shot Quality 2009-2010: A look at shot angles and rebounds,Kevin Krzywicki,2010,Measures,Shot Quality,Hockey Analytics,,
487,"<a href=""http://www.hockeyanalytics.com/Research_files/Player_Contribution_System.pdf"" target=""_blank"">Player Contribution: A Method for Allocating Credit for a Team's Performance to the Individual Contributors on a Hockey Team</a>",http://www.hockeyanalytics.com/Research_files/Player_Contribution_System.pdf,Player Contribution: A Method for Allocating Credit for a Team's Performance to the Individual Contributors on a Hockey Team,Alan Ryder,2003,Evaluation,"Contribution, Player, Skaters",Hockey Analytics,,
488,"<a href=""http://hockeyanalytics.com/Research_files/Shot_Quality.pdf"" target=""_blank"">Shot Quality: A Methodology for the Study of the Quality of a Hockey Team's Shots Allowed</a>",http://hockeyanalytics.com/Research_files/Shot_Quality.pdf,Shot Quality: A Methodology for the Study of the Quality of a Hockey Team's Shots Allowed,Alan Ryder,2004,Measures,Shot Quality,Hockey Analytics,,
489,"<a href=""http://www.hockeyanalytics.com/Research_files/Win_Probabilities.pdf"" target=""_blank"">Win Probabilities: A Tour Through Win Probability Models for Hockey</a>",http://www.hockeyanalytics.com/Research_files/Win_Probabilities.pdf,Win Probabilities: A Tour Through Win Probability Models for Hockey,Alan Ryder,2004,Win Probability,Win Probability,Hockey Analytics,,
490,"<a href=""http://hockeyviz.com/static/pdf/dchac.pdf"" target=""_blank"">Ice-time Is Not The Cause of Score Effects</a>",http://hockeyviz.com/static/pdf/dchac.pdf,Ice-time Is Not The Cause of Score Effects,Micah Blake McCurdy,2015,Measures,Corsi / Fenwick,Hockey Viz,,
491,"<a href=""http://hockeyviz.com/static/pdf/rithac.pdf"" target=""_blank"">Shift Start Location Adjustment</a>",http://hockeyviz.com/static/pdf/rithac.pdf,Shift Start Location Adjustment,Micah Blake McCurdy,2015,Measures,Zone Entries/Exits/Starts,Hockey Viz,,
492,"<a href=""http://hockeyviz.com/static/pdf/rithac2.pdf"" target=""_blank"">Drafting Incentives</a>",http://hockeyviz.com/static/pdf/rithac2.pdf,Drafting Incentives,Micah Blake McCurdy,2016,Evaluation,NHL Draft,Hockey Viz,,
493,"<a href=""http://objectivenhl.blogspot.com/2008/10/shot-quality.html"" target=""_blank"">Shot Quality</a>",http://objectivenhl.blogspot.com/2008/10/shot-quality.html,Shot Quality,Tore Purdy,2008,Measures,Shot Quality,Objective NHL,,
494,"<a href=""http://objectivenhl.blogspot.com/2009/08/corsi-corrected-for-starting-shift.html"" target=""_blank"">Corsi Corrected for Starting Shift Location</a>",http://objectivenhl.blogspot.com/2009/08/corsi-corrected-for-starting-shift.html,Corsi Corrected for Starting Shift Location,Tore Purdy,2009,Measures,"Corsi, Fenwick",Objective NHL,,
