Title,Archive link,Primary Author(s),Year,Topic,Source,Keywords
Estimating Shooting Talent,,Harry Shomer,2016,Evaluation,Fooled By Grittiness,"Shooting Talent, Skaters"
A Guide to Neutral Zone Tracking Part 1 of 2: Why Neutral Zone Statistics Matter,,Garik16,2016,Measures,Hockey Graphs,Zone Entries / Exits / Starts
Prediction Model Cordelia,,Micah Blake McCurdy,2016,Models,Hockey Viz,"Prediction, Team"
Leverage,,Micah Blake McCurdy,2016,Evaluation,Hockey Viz,"Pressure, Team"
Marcel Projections for Goalies,,Harry Shomer,2016,Evaluation,Fooled By Grittiness,Goalies
Tactalytics: Using Data to Inform Tactical Offensive Zone Decisions,,Ryan Stimson,2016,Strategy,Hockey Graphs,"Team, Zone Entries / Zone Exits / Starts"
Crucial Habits for Good Shot Generation and Suppression: Overview,,Jen Lute Costella,2016,Measures,Jen LC 13,Corsi
Relationship of Possession to Shots-For,,Benjamin Wendorf,2016,Measures,Hockey Graphs,Corsi / Fenwick
Hockey and Euclid: Calculating Statistical Similarity Between Players,,Emmanuel Perry,2016,Evaluation,Corsica,Skaters
Why the “Scoring Chance” is a Flawed Metric and How We Can Improve It,,Loserpoints,2016,Measures,Oilers Nation,Shot Quality
Hockey and Euclid: Predicting AAV With K-Nearest Neighbors,,Emmanuel Perry,2016,NHL Free Agency,Corsica,"Free Agency, NHL"
SEAL-Adjusted Scoring and why it matters for prospects,,Garret Hohl,2016,Evaluation,Hockey Graphs,NHL Draft
Shot Quality and Expected Goals - Part 1.5,,Emmanuel Perry,2016,Measures,Corsica,"Expected Goals, Shot Quality"
A Primer on @DTMAboutHeart’s WAR Model,,Dawson Sprigings,2016,Evaluation,Hockey Graphs,Skaters
Introducing Box Plus-Minus,,Dawson Sprigings,2016,Evaluation,Hockey Graphs,Skaters
"Putting it all together: A hockey systems, stats, tools, and talent evaluation primer",,Dave Shapiro,2016,Introduction,Blue Seat Blogs,"Corsi, Scoring Chances, Usage, Deployment"
NHL Draft Probability Tool,,Dawson Sprigings,2016,Evaluation,Hockey Graphs,NHL Draft
The Path to WAR,,Cole Anderson,2016,Evaluation,Crowd Scout Sports,Skaters
"Matt Hunwick, Martin Marincin and Quality of Competition",,Dom Luszczyszyn,2016,Measures,Hockey Graphs,Quality of Competition / Teammates
How good is Columbus? A Bayesian approach,,Muneeb Alam,2016,Models,Hockey Graphs,"Bayesian, Blue Jackets, Columbus, NHL, Team"
Regressing Sv% by Danger Zone,,Harry Shomer,2016,Measures,Fooled By Grittiness,Goalies
Measuring Single Game Productivity: An Introduction to Game Score,,Dom Luszczyszyn,2016,Evaluation,Hockey Graphs,"Game Score, Skaters"
Crucial Habits: Shot Generation and Game Flow,,Jen Lute Costella,2016,Measures,Jen LC 13,"Corsi / Fenwick, Game Flow, Pace, Shots"
Team effects and Sv%,,Harry Shomer,2016,Evaluation,Fooled By Grittiness,Goalies
Can Goaltenders Have An Effect On Possession Statistics?,,Steve Ness,2016,Evaluation,Business of Hockey,"Goalies, Possession, Corsi"
Should we incorporate misses into our evaluation of goalies?,,Harry Shomer,2016,Evaluation,Fooled By Grittiness,Goalies
Crucial Habits: Shot Generation and the Neutral Zone,,Jen Lute Costella,2016,Measures,Jen LC 13,"Corsi / Fenwick, Neutral Zone, Shots"
Goalie Aging Curve,,Harry Shomer,2016,Evaluation,Fooled By Grittiness,"Aging Curves, Goalies"
Crucial Habits: Shot Generation and Puck Recovery,,Jen Lute Costella,2016,Measures,Jen LC 13,"Corsi / Fenwick, Puck Recovery"
How does performance as of Dec. 1 relate to making the playoffs?,,Petbugs,2016,Miscellaneous,Hockey Graphs,"Playoffs, Team"
Creating Player Ratings Using Swarm Intelligence Algorithms,,Emmanuel Perry,2016,Evaluation,Corsica,Skaters
Zone Time and Goals,,Jen Lute Costella,2016,Measures,Jen LC 13,"Corsi / Fenwick, Goals, Zone Time"
The Distribution of QoC/QoT at the NCAA Level,,Ryan Stimson,2016,Measures,Hockey Graphs,Quality of Competition / Teammates
Do Past SV% Variables Predict Future Sv% Variables?,,Matt Cane,2016,Evaluation,Hockey Graphs,"Goalies, Save Percentage"
Apply CUSUM to Hockey Prediction Models,,Petbugs,2016,Miscellaneous,Hockey Graphs,
Introducing Expected Plus-Minus,,Dawson Sprigings,2016,Evaluation,Hockey Graphs,Skaters
Crucial Habits: Shot Generation and Controlled Zone Exits,,Jen Lute Costella,2016,Measures,Jen LC 13,"Corsi / Fenwick, Zone Exits"
"Extras, Blending, and Seasonal Adjustment",,Dawson Sprigings,2016,Evaluation,Hockey Graphs,Skaters
Shot Quality and Expected Goals - Part 1,,Emmanuel Perry,2016,Measures,Corsica,"Expected Goals, Shot Quality"
Predicting Which Players Will Succeed on the Powerplay,,Matt Cane,2016,Measures,Hockey Graphs,Powerplay
Weighted Shot Rates Based on the Passing Project,,Loserpoints,2016,Measures,Hockey Graphs,Shot Quality
To Secondary Assist or not to Secondary Assist,,Harry Shomer,2016,Measures,Fooled By Grittiness,"Assists, Secondary, Skaters"
A Guide to Neutral Zone Tracking Part 2 of 2: How to Track the Neutral Zone,,Garik16,2016,Measures,Hockey Graphs,Zone Entries / Exits / Starts
Expected Standings Points,,Micah Blake McCurdy,2016,Models,Hockey Viz,"Points, Team"
"Just How Important is Quality of Competition? Very. Also, Not Much. It’s All Relative",,Ryan Stimson,2016,Measures,Hockey Graphs,Quality of Competition / Teammates
The Return of Draft Analytics: The Prospect Graduation Probabilities System (pGPS),,Jeremy Davis,2016,Evaluation,Canucks Army,NHL Draft
Should you ever draft a goalie?,,Matt Cane,2016,Evaluation,Puck++,NHL Draft
Repeatability Of Skater VSM (Sant.Score),,Web Sant,2016,Measures,Hockey Simplified,"Prediction, Repeatibility, Skaters"
eGF Finally Fully Explained,,Nick Abe,2016,Measures,XtraHockeyStats,"Expected Goals, Shot Quality"
Predicting Year-to-Year Power Play Success,,Arik Parnass,2016,Measures,Special Teams Project,Powerplay
Entry Generation and Suppression,,Alex Novet,2016,Measures,Hockey Graphs,Zone Entries / Exits / Starts
Breaking Down Existing Power Play Data By Shot Type,,Arik Parnass,2016,Measures,Special Teams Project,Powerplay
Are Neutral Zone Regroups Beneficial to Power Play Units?,,Arik Parnass,2016,Measures,Special Teams Project,Powerplay
How Do Rebound Shots Impact Shooting Percentages?,,Arik Parnass,2016,Measures,Special Teams Project,Powerplay
Which Specific Zone Entry Types are Most Successful?,,Arik Parnass,2016,Measures,Special Teams Project,Powerplay
Descriptive vs Predictive eGF vs Corsi for Forwards,,Nick Abe,2016,Measures,XtraHockeyStats,"Expected Goals, Shot Quality"
ELO Ratings for the NHL,,Alan Ryder,2016,Miscellaneous,Hockey Analytics,
Using Marcel Projections for Goalies in the 2016-17 Season,,Harry Shomer,2016,Evaluation,NHL Numbers,"Goalies, Marcels"
ZEFR Rate: A New and Better Way to Evaluate Power Plays,,Arik Parnass,2016,Measures,Hockey Graphs,Powerplay
How Can We Quantify Power Play Performance in Formation?,,Arik Parnass,2016,Measures,Hockey Graphs,Powerplay
Special Teams Spotlight: The Optimal 6-on-4 Formation,,Arik Parnass,2016,Measures,Special Teams Project,Powerplay
Can We Accurately Predict Which PK Units Will Score Shorthanded?,,Arik Parnass,2016,Measures,Hockey Graphs,"Penalty Kill, Shorthanded"
Neutral Zone Playing Styles,,Alex Novet,2016,Measures,Hockey Graphs,Zone Entries / Exits / Starts
How To Value Draft Picks vs. Active Players,,Mike Zsolt,2016,Evaluation,Original Six Analytics,"Expected Points, Draft Analysis, Draft Picks"
Special Teams Analytics in the 21st Century,,Arik Parnass,2016,Measures,Hockey Graphs,Powerplay
Statistically Analyzing Hockey’s One-Timer,,Arik Parnass,2016,Measures,Special Teams Project,Powerplay
Is Dumping the Puck Damaging on the Power Play?,,Arik Parnass,2016,Measures,Special Teams Project,Powerplay
When To Be Aggressive and When To Be Cautious At NHL Trade Deadline,,Steve Burtch,2016,Evaluation,Sportsnet,"Draft Picks, Goals Above Replacement, Trade Deadline"
How Important is Playing the Off-Wing on the Power Play?,,Arik Parnass,2016,Measures,Special Teams Project,Powerplay
Are Power Play Drop Pass Entries Effective?,,Arik Parnass,2016,Measures,Special Teams Project,Powerplay
Text Mining of Scouting Reports for Improving NHL Draft Analytics,,"Timo Seppa, Michael Schuckers, Mike Rovito",2017,Evaluation,Stat Sports Consulting,"Prospects, Scouting, Scouting Reports, Text Mining"
Adjusting Historical Player Performance Using Talent Distribution Part 1,,Jake Flancer,2017,Evaluation,Three Point Games,"Lorenz Curve, Gini Coefficient, Era, Hall of Fame"
What Does It Mean To Draft Perfectly? An Evaluation of Draft Strategy In The National Hockey League,,Namita Nandakumar,2017,Evaluation,University of Pennsylvania,"NHL Draft, Prospects, Draft Efficiency, Draft Value"
How much support does a good breakout need?,,Ryan Stimson,2017,Measures,All About the Jersey,Breakouts
An Aggressive Forecheck is Best,,Ryan Stimson,2017,Measures,All About the Jersey,Forecheck
Devils Skaters’ Performance in All Three Zone Data,,CJ Turtoro,2017,Evaluation,All About the Jersey,"All Three Zones, Projects, Skaters, Zone Entries, Zone Exits"
Evaluating Defensive Ability in Hockey Using Passing Data,,Ryan Stimson,2017,Evaluation,Sloan Sports Conference,"Passing, Skaters"
How Often Does The Best Team Win? A Unified Approach to Understanding Randomness in North American Sport,,Michael Lopez,2017,Evaluation,ArXiv,"Models, Winning, Best Team"
Is Your Favourite Team Coached by a 'Line Juggler'?,,Tyler Dellow,2017,Evaluation,The Athletic ($),"Coaching, Line Juggling"
Is Sam Morin Taking Too Long? An Analysis of NHL Prospect Timelines,,Namita Nandakumar,2017,Evaluation,The Athletic ($),"Prospects, Survival Curves"
What Goes Into A Successful Shootout Attempt,,Steve Ness,2017,Evaluation,Business of Hockey,Shootout
Should teams play with 4 forwards when they're down late?,,Matt Cane,2017,Strategy,Hockey Graphs,"Skaters, Trailing"
Measuring the Importance of Structure on the Powerplay,,Matt Cane,2017,Measures,Hockey Graphs,Powerplay
"Update on the Hockey Hall of Fame model and predictions - The Hockey Hall of Fame in 2018, 2019, and beyond",,RDJ,2017,Evaluation,Github,"Hall of Fame, Model"
Redefining Defensemen Based on Transitional Play,,Ryan Stimson,2017,Evaluation,Hockey Graphs,Skaters
Protecting the Blue Line and Driving Break-outs: Repeatability and Impact of Exits and Entries Against,,Org Six Analytics,2017,Measures,Original Six Analytics,Zone Entries / Exits / Starts
The 25 Greatest Goalies of Women's Hockey History,,Giants in the Crease,2017,Women's Hockey,Crease Giants,Women's Hockey
Exploiting Variance in the NHL Draft,,Namita Nandakumar,2017,Evaluation,Hockey Graphs,NHL Draft
"Expected Goals (xG), Uncertainty, and Bayesian Goalies",,Cole Anderson,2017,Evaluation,Crowd Scout Sports,Goalies
Introducing Weighted Points Above Replacement - Part 2,,Evolving Wild,2017,Evaluation,Hockey Graphs,Weighted Points
A Few Stuff about Miss%,,Harry Shomer,2017,Measures,Fooled By Grittiness,"Goalies, Missed Shot Percentage"
Women's World's Championship Data - Last 16 Years,,Giants in the Crease,2017,Women's Hockey,Google Docs,"Women's Hockey, World Championship"
A New Look at Aging Curves for NHL Skaters (part 2),,Evolving Wild,2017,Evaluation,Hockey Graphs,"Aging Curves, WAR"
Introducing Weighted Points Above Replacement - Part 1,,Evolving Wild,2017,Evaluation,Hockey Graphs,"PAR, Points Above Replacement, Skaters, Weighting"
2016-2017 NHL Translation Factors,,Rob Vollman,2017,Evaluation,Hockey Abstract,NHL Draft
Probabilistic Forecasting and Weighting of Three Star Selections,,Emmanuel Perry,2017,Evaluation,Corsica,Skaters
Aiming for generalization with Hockey Hall of Fame models - on complexity and overfit in hockey models,,RDJ,2017,Discussion,Github,"Overfit, Variance, Bias"
Second Units and Zone Entries: Why Teams Should Go All-In on the 4 Forward Powerplay,,Matt Cane,2017,Measures,Hockey Graphs,Powerplay
Stop Worrying About Shot Parity,,Shawn Ferris,2017,Measures,Hockey Graphs,"Corsi / Fenwick, Shots"
Behind The Numbers - What Makes A Stat Good?,,Garret Hohl,2017,Evaluation,Hockey-Graphs,"Stats, Evaluation, Correlation,"
Identifying Team Playing Styles with Clustering,,Ryan Stimson,2017,Strategy,Hockey Graphs,"Playing Styles, Team"
"Expected Primary Points are a better predictor of future scoring than Shots, Points",,Ryan Stimson,2017,Evaluation,Hockey Graphs,Skaters
"Mikael Granlund, Playing Behind the Net, and Predicting Goals",,Ryan Stimson,2017,Evaluation,Hockey Graphs,Skaters
"Predicting the Hockey Hall of Fame - Who got in, who shouldn't have, who will, and why",,RDJ,2017,Evaluation,Github,"Hall of Fame, Model"
"Hockey Analytics, Strategy, & Game Theory",,Cole Anderson,2017,Evaluation,Crowd Scout Sports,
Standardized Goals Against,,Micah Blake McCurdy,2017,Evaluation,Hockey Viz,Goalies
Primary Points NWHL 2015-2016 Season,,Mike Murphy,2017,Women's Hockey,Google Docs,NWHL
The Art of WAR,,Emmanuel Perry,2017,Evaluation,Corsica,"Skaters, WAR"
A New Look at Aging Curves for NHL Skaters (part 1),,Evolving Wild,2017,Evaluation,Hockey Graphs,"Aging Curves, WAR"
Identifying Playing Styles with Clustering,,Ryan Stimson,2017,Evaluation,Hockey Graphs,"Playing Styles, Skaters"
Who’s Getting Drafted This Year?,,Namita Nandakumar,2017,NHL Draft,Hockey Graphs,
"Behind the Numbers: The Issues with Binning, QoC, and Scoring Chances",,Garret Hohl,2017,Measures,Hockey Graphs,Quality of Competition / Teammatess
About That Flyers' Challenge Last Night,,Matt Cane,2017,Evaluation,Hockey-Graphs,"Challenge, Offsides, Coaching"
Inside the numbers: How the NWHL and CWHL do stats differently,,Mike Murphy,2017,Women's Hockey,FanRag Sports,"CWHL, NWHL, Women's Hockey"
Rink Bias for SOG and Misses,,Harry Shomer,2017,Measures,Fooled by Grittiness,"Corsi / Fenwick, Shots"
By the Numbers: Can New Leafs' Defenceman Ron Hainsey Handle Tough Minutes?,,Dom Luszczyszyn,2017,Measures,The Athletic,Quality of Competition / Teammates
Prediction Model - Edgar,,Micah Blake McCurdy,2017,Evaluation,Hockeyviz,"Analytics, Models"
Position Value and Wage Determinants,,Jeremy Davis,2017,Evaluation,Canucks Army,Prospects
Measuring the Importance of Individual Player Zone Entry Creation,,Charlie O'Connor,2017,Evaluation,Hockey-Graphs,Zone Entries
A Beginner's Guide to Goaltender Advanced Stats,,Drew Way,2017,Introduction,Blueshirts Breakaway,"Goalies, Goaltender, GSAA, goals saved above average, dSv%, adjusted save percentage, delta save percentage, shot quality"
On Salad And Predicting Hockey Games,,Emmanuel Perry,2017,Evaluation,Corsica,"Analytics, Models"
Estimating Shot Assist Quantities for Skaters,,Loserpoints,2017,Evaluation,Hockey-Graphs,"Passing, Shot Quality, Skaters"
NHL Expected Goals Model,,Matthew Barlowe,2017,Evaluation,RStudio,"Expected Goals, Logistic Regression"
Who You Calling Weak? Draft Class Variance,,Alex Novet,2017,NHL Draft,Hockey Graphs,
Rebound Control,,Cole Anderson,2017,Evaluation,Crowd Scout Sports,"Goalies, Probability, Rebounds"
There's No Secret to Protecting a Lead,,Alex Novet,2017,Strategy,Hockey Graphs,"Lead Protection, Team"
Strong and Weak Links: Talent Distribution within Teams,,Alex Novet,2017,Management,Hockey Graphs,"Construction, Roster, Team"
Draft Expected Value,,Hayden Speak,2017,Evaluation,Prospect-Stats,"Predicting Draft Success, Prospects, NHL Draft"
The Evaluation Of Pace Of Play In Hockey,,"Rajitha Silva, Jack Davis, Tim Swartz",2018,Evaluation,Journal of Sports Analytics,Pace
Introducing The Definitive Hart Trophy Score - The Wyshynski Score,,Jake Flancer,2018,Evaluation,Three Point Games,"Hart Trophy, MVP"
Who Plays Where? Determing Skater Positions Through Clustering,,Jake Flancer,2018,Evaluation,Three Point Games,"Clusters, Positions"
Can We Predict NHL Success From World Juniors Performance?,,Jake Flancer,2018,Evaluation,Three Point Games,"Prospects, World Juniors, NHL"
Adjusting Historical Player Performance Using Talent Distribution Part 3,,Jake Flancer,2018,Evaluation,Three Point Games,"Lorenz Curve, Gini Coefficient, Era, Hall of Fame"
Adjusting Historical Player Performance Using Talent Distribution Part 2,,Jake Flancer,2018,Evaluation,Three Point Games,"Lorenz Curve, Gini Coefficient, Era, Hall of Fame"
Measuring Consistency,,Jake Flancer,2018,Evaluation,Three Point Games,"Consistency, Game Score"
The NHL Has An Officiating Problem,,Rex Libris,2018,Evaluation,The Sports Daily,"Refs, Penalties, Referees, Rate of Call"
What is an NHL win worth?,,Kyle Gipe,2018,Measures,The Hockey Writers,"Goals, Wins, Value"
Why Quality of Competition Doesn't Matter To Analytics Experts Anymore,,Daniel Wagner,2018,Discussion,Vancouver Courier,"QoC, QoT, Roles"
Can You Cluster NHL Players On Shots?,,Em,2018,Evaluation,Netlify,"R, Shots, K Means, Shot Type"
Comparing Scoring Talent with Empirical Bayes,,Domenic Galamini,2018,Measures,Hockey-Graphs,"Bayesian, Scoring, Talent"
Improving Public Counting Stats By Combining Them,,Chace McCallum,2018,Measures,Hockey and Stuff,"BPM, Box Score, Counting Stats"
Goals Above Replacement,,Chace McCallum,2018,Measures,Hockey and Stuff,"WAR, GAR"
Optimal Contracts Using Wins Above Replacement,,Eric Thiel,2018,Measures,"Economics, Hockey, Stats","WAR, Contracts, Value"
Should the Bruins break with tradition and start resting players?,,Shawn Ferris,2018,Evaluation,Stanley Cup of Chowder,"Injuries, Rest, Resting Players"
High Danger Scoring Chances - An Analysis of the Devilish Statistic,,CJ Turtoro,2018,Evaluation,All About the Jersey,"Corsi, Goals, High Danger Scoring Chances, Shot Quality"
Pulling the Goalie: Hockey and Investment Implications,,Clifford Asness,2018,Evaluation,,"Goalies, Pulling the Goalie"
Forecasting NHL Hat Tricks,,Sam Forstner,2018,Measures,Dartmouth,"Poisson, Hat Tricks"
Forecasting Real-Time Win Probabilities In NHL Games,,Christophe Bernier,2018,Evaluation,Boston College,"Win Probability, Shootouts, Betting, Odds"
"Time Perception Machine: Temporal Point Processes for the When, Where, and What of Activity Prediction",,Yatao Zhong,2018,Evaluation,arxiv.org,"Temporal Point Process, Activity Prediction, Time Perception Machine"
"Model Trees for Identifying Exceptional Players in
the NHL Draft",,Oliver Schulte,2018,Evaluation,Arxiv,"Draft, Model Trees, Prospects"
When Do Defensemen Make It?,,Tyler Dellow,2018,Evaluation,The Athletic ($),"Aging Curves, Corsi / Fenwick, Defenders"
Sam Bennett: A Bayesian Analysis,,Ganesh Murdeshwar,2018,Evaluation,The Athletic ($),"Bayesian Statistics, Estimating Scoring Ability"
How The WAR Statistic Can Be Useful In Hockey And What It Says About The Rangers,,Shayna Goldman,2018,Overview,The Athletic,"WAR, Wins Above Replacement"
Advanced Stats Primer Part 2 - Why Does Passing Matter?,,Ryan Stimson,2018,Introduction,The Athletic,"Relative Corsi, WOWY, WAR, RelTm"
An Advanced Stats Primer with NaturalStatTrick's Brad Timmins,,Ryan Stimson,2018,Introduction,The Athletic,"Corsi, xG, Expected Goals, Primer"
Linking Penalties and Game Minute in the NHL,,Ingrid Rolland,2018,Evaluation,Hockey-Graphs,Penalties
Wins Above Replacement,,Emmanuel Perry,2018,Evaluation,Corsica,"WAR, LASSO, Regularized Regression"
Should Teams Pull Their Goalie On The Powerplay?,,Matt Cane,2018,Evaluation,Hockey-Graphs,"Goalies, Pulling the Goalie, Powerplay"
Prospect Expected Goals,,Hayden Speak,2018,Evaluation,Prospect-Stats,"Expected Goals, Prospects, OHL, QMJHL"
Explaining Playoff Goaltending,,Cole Anderson,2018,Evaluation,Crowd Scout Sports,"Playoffs, Goalies"
Playoff Goaltending,,Cole Anderson,2018,Evaluation,Crowd Scout Sports,"Playoffs, Goalies"
Gradient Ascent and Goal Scoring,,Cole Anderson,2018,Evaluation,Crowd Scout Sports,"Gradient Descent, Goal Probability"
Diving Into How Goalies Fit Into NHL Cap Structure,,Carey Haber,2018,Evaluation,The Cap Space,"Goalies, Salary Cap, Cap Hit, GSAA"
Using Network Analysis to Estimate Teammate Influence in Hockey Scoring,,Evan Oppenheimer,2018,Measures,Medium,"Betweeness, Scoring, Draft"
How Did The Absence of National Team Players Impact The NWHL's Landscape of Talent,,Alyssa Longmuir,2018,Evaluation,Pension Plan Puppets,"NWHL, Women's Hockey, Game Score"
How Much Do NHL Players Really Make?,,Shayna Goldman,2018,Miscellaneous,Hockey-Graphs,"Escrow, CBA, Salary"
Exploring Potential Biases in Prospect Rankings,,Jeremie Spagnolo,2018,Evaluation,Maple Leafs Nation,"Bias, Prospects"
Boston University PP Passes and Shots Versus The PK,,Judy Cohen,2018,Evaluation,Judy Puck,"Passing, Special Teams, Penalty Kill"
Individual Powerplay Units in 17-18,,Meghan Hall,2018,Evaluation,Balls And Sticks,"Powerplay, Structure, Efficiency"
How Good Is Frederik Andersen And How Much Better Can He Get?,,Raajan Aery,2018,Measures,Sportsnet,"dSV%, delta save percentage, GSAA, goals saved above average, xSV%, expected save percentage"
Evaluating My Shooter xG Model,,Harry Shomer,2018,Evaluation,Fooled By Grittiness,"xG, Shooter Talent"
Does The NHL's Loser Point Help Weaker Teams?,,Phil Birnbaum,2018,Evaluation,Sabermetric Research,"Loser point, distribution of talent, luck"
Adjusted Shot Locations,,Hayden Speak,2018,Evaluation,Prospect-Stats,"Shot Location, Bias"
A New Expected Goals Model for Predicting Goals in the NHL,,Evolving Wild,2018,Evaluation,RPubs,"Expected Goals, XGBoost"
Shift Ends and Shot Rates,,Matt Cane,2018,Evaluation,Puck++,"Shifts, Shift Length, Corsi, Shots"
Goalie Points Above Expected,,Cole Anderson,2018,Evaluation,Crowd Scout Sports,"Goalies, Points, PAX"
eTOI,,Hayden Speak,2018,Measures,Prospect-Stats,"Estiamted Time on Ice, Prospects, eTOI, Linear Regression"
RVH Research,,Cole Anderson,2018,Evaluation,Crowd Scout Sports,"RVH, Goalies, Positioning"
An Introduction to NWHL Game Score,,Shawn Ferris,2018,Evaluation,Hockey-Graphs,"Game Score, NWHL"
How To Get Started In Hockey Analytics,,Alex Novet,2018,Introduction,Hockey-Graphs,"Hockey Analytics, Introduction"
Has the Aging Curve Changed?,,Jeremie Spagnolo,2018,Evaluation,Pension Plan Puppets,Aging Curve
NHL Game Prediction Model,,Harry Shomer,2018,Evaluation,Harrys Homer,"Prediction, Marcels, Bagging"
Are There Unintended Consequences To The Coach's Challenge?,,Petbugs,2018,Evaluation,Hockey-Graphs,"Coach's challenge, Goal-Scoring, Offside calls"
Expected Goals Limitations - A Deep Dive,,Cole Anderson,2018,Evaluation,Crowd Scout Sports,"xG, Expected Goals, Limitations,"
Estimating Individual Impact on NHL 5v5 Shot Rates,,Micah Blake McCurdy,2018,Evaluation,HockeyViz,Regression
The interesting way that the Corsi spread has tightened in the NHL,,Arvind Shrivats,2018,Measures,Pension Plan Puppets,"Corsi, Standard Deviation, Density"
"Zone Exits, Handedness, And The Leftorium",,WheatNOil,2018,Evaluation,The Sports Daily,"Handedness, Zone Exits, Defensemen"
A Look At Rate Statistics And Ice Time,,Shane O'Donnell,2018,Evaluation,Litter Box Cats,"Rate Statistics, TOI, Roles"
NHL referees balance penalty calls between teams,,Phil Birnbaum,2018,Evaluation,Sabermetric Research,"Refs, Penalties, Make-up call"
Optimal Contract Structuring - Taking It To The Logical Conclusion,,Matt Cane,2018,Evaluation,Puck++,"Contracts, Structure"
Expected Goals Model,,Harry Shomer,2018,Measures,Fooled By Grittiness,Expected Goals
Revisiting Relative Shot Metrics - Part 2,,Evolving Wild,2018,Measures,Hockey-Graphs,"Rel Tm, Relative, WOWY"
Revisiting Relative Shot Metrics - Part 1,,Evolving Wild,2018,Measures,Hockey-Graphs,"Rel Tm, Relative, WOWY"
2017-18 Half-Season Review: The Flames’ Penalty Kill (Part 2),,Mike Pfeil,2018,Evaluation,Flames Nation,"Penalty Kill, Systems, Shorthanded, Special Teams, Tactics"
Shooter Talent and Expected Goals,,Harry Shomer,2018,Measures,Fooled By Grittiness,"Expected Goals, Shooter Talent, Sh%"
2017-18 Half-Season Review: The Flames’ Penalty Kill (Part 1),,Mike Pfeil,2018,Evaluation,Flames Nation,"Penalty Kill, Systems, Shorthanded, Special Teams, Tactics"
An Introduction to New Tracking Technology,,Prashanth Iyer,2018,Evaluation,Hockey-Graphs,"Passing Project, Tracking, Zone Entries"
Why the Leafs have been struggling at home,,Ian Tulloch,2018,Evaluation,Maple Leafs Nation,"Home Ice Advantage, Line Matching"
Introduction to the Player Evaluation Tool (PET),,Andi Duroux,2018,Measures,BSN Denver,"Player Evaluation, Tableau, Transition"
Goal Scorer Cluster Analysis,,Alex Novet,2018,Evaluation,Hockey-Graphs,"Clusters, Goal Scoring, K-Means"
An Analytical Look at this Summer's RFA's,,Nathan de Lara,2019,Evaluation,de Lara Analytics,"Contracts, RFA's, Restricted, Offer Sheet"
Measuring Goals Added Through Passes and Skating in the NHL,,Nathan de Lara,2019,Evaluation,de Lara Analytics,"Passing, Skating, Value, Goals"
So you want to make a hockey data viz?,,Meghan Hall,2019,Graphics,Medium,"Data, Data Visualization"
Discrete Defensive Strategies on the Penalty Kill,,Meghan Hall,2019,Evaluation,Meghan Hall Rbind,"Penalty Kill, Defense, Strategy"
Tracking Increasing Offense on the Penalty Kill,,Meghan Hall,2019,Evaluation,Meghan Hall Rbind,"Penalty Kill, Power Kill, Offense"
Aggression and Success in Goalie Pulling,,Meghan Hall,2019,Evaluation,Meghan Hall Rbind,"Goalies, Goalie Pull, Timing"
Magnus 2 - Shooting And Goaltending,,Micah Blake McCurdy,2019,Evaluation,Hockey Viz,"Model, Regression, Shooting, Goaltending"
Magnus 2 - Umbrella,,Micah Blake McCurdy,2019,Evaluation,Hockey Viz,"Model, Regression"
Estimating The Return On Investment From NHL Scouting,,"Michael Schuckers, Steve Argeris",2019,Evaluation,Journal of Sports Analytics,"Scouting, Return On Investment"
NHL Aging,,CJ Turturo,2019,Evaluation,RPubs,"Aging Curves, GAM, GAR"
NHL GM Efficiency - Measuring Which Teams Get The Most Bang For Their Buck,,Peter Flynn,2019,Evaluation,Winging It In Motown,"GM, Contracts, Salary Cap"
By The Numbers - The Significance Of The Seasons First Five Games In Forecasting An NHL Teams Future Performance,,Dom Luszczyszyn,2019,Evaluation,The Athletic,"Projection, Five Games, Team Performance"
Why NHL Coaches Need To Revisit The Idea That Goalies Shouldn't Start On Back-To-Back Nights,,Dom Luszczyszyn,2019,Evaluation,The Athletic,"Goalies, Back-To-Back"
Hockey Advanced Stats Primer Part 2 - How Can And Should We Measure Play Driving Ability,,Charlie O'Connor,2019,Introduction,The Athletic,"Microstats, WOWY, Relative, Threat, RAPM"
Combining Manually Tracked Data With Play-By-Play Data,,Meghan Hall,2019,Introduction,Hockey-Graphs,"R, Tidyverse, Introduction"
Exploratory Data Analysis Using Tidyverse,,Meghan Hall,2019,Introduction,Hockey-Graphs,"R, Tidyverse, Introduction"
Passing Clusters - A Framework To Evaluate A Teams Breakout,,Daniel Weinberger,2019,Evaluation,Hockey-Graphs,"Breakouts, Zone Exit, Passing"
Lateral Puck Movement In The Neutral Zone,,Daniel Weinberger,2019,Evaluation,Hockey-Graphs,"Lateral, Neutral Zone, Passing"
An Introduction to R With Hockey Data,,Meghan Hall,2019,Introduction,Hockey-Graphs,"R, Introduction, Hockey Statistics"
Magnus 2 - EV,,Micah Blake McCurdy,2019,Evaluation,Hockey Viz,"Model, Regression"
The Importance of Pressure for a Successful Forecheck,,Alex Novet,2019,Measures,Hockey-Graphs,"Coaching, Forechecking, Tracking, Neutral Zone"
Projecting NHL Skater Contracts for the 2019 Offseason,,Evolving Wild,2019,Evaluation,Hockey-Graphs,"Contracts, Random Forest, Salary Cap"
Evaluating Nordic Drafting - A Potential Market Inefficiency,,Prashanth Iyer,2019,Evaluation,Hockey-Graphs,"Prospects, Sweden, Finland, CHL, USHL, USDP"
